380.50	0.015	
381.30	0.015	
382.20	0.015	
383.10	0.015	
384.00	0.015	
384.90	0.015	
385.80	0.015	
386.70	0.015	
387.60	0.015	
388.50	0.015	
389.40	0.015	
390.20	0.015	
391.10	0.015	
392.00	0.015	
392.90	0.015	
393.80	0.015	
394.70	0.015	
395.60	0.015	
396.50	0.015	
397.40	0.015	
398.30	0.015	
399.10	0.015	
400.00	0.015	
400.90	0.015	
401.80	0.015	
402.70	0.015	
403.60	0.015	
404.50	0.015	
405.40	0.015	
406.30	0.015	
407.20	0.015	
408.00	0.015	
408.90	0.015	
409.80	0.015	
410.70	0.015	
411.60	0.015	
412.50	0.015	
413.40	0.015	
414.30	0.015	
415.20	0.015	
416.00	0.015	
416.90	0.015	
417.80	0.015	
418.70	0.015	
419.60	0.015	
420.50	0.015	
421.40	0.015	
422.30	0.015	
423.20	0.015	
424.10	0.015	
424.90	0.015	
425.80	0.015	
426.70	0.015	
427.60	0.015	
428.50	0.015	
429.40	0.015	
430.30	0.015	
431.20	0.015	
432.10	0.015	
433.00	0.016	
433.80	0.015	
434.70	0.015	
435.60	0.016	
436.50	0.016	
437.40	0.015	
438.30	0.015	
439.20	0.015	
440.10	0.015	
441.00	0.015	
441.90	0.015	
442.70	0.015	
443.60	0.015	
444.50	0.015	
445.40	0.015	
446.30	0.015	
447.20	0.015	
448.10	0.015	
449.00	0.015	
449.90	0.015	
450.80	0.015	
451.60	0.015	
452.50	0.015	
453.40	0.015	
454.30	0.015	
455.20	0.015	
456.10	0.015	
457.00	0.015	
457.90	0.015	
458.80	0.015	
459.60	0.015	
460.50	0.015	
461.40	0.015	
462.30	0.015	
463.20	0.015	
464.10	0.015	
465.00	0.015	
465.90	0.015	
466.80	0.015	
467.70	0.015	
468.50	0.015	
469.40	0.015	
470.30	0.015	
471.20	0.015	
472.10	0.015	
473.00	0.015	
473.90	0.015	
474.80	0.015	
475.70	0.015	
476.60	0.015	
477.40	0.015	
478.30	0.016	
479.20	0.016	
480.10	0.015	
481.00	0.015	
481.90	0.015	
482.80	0.016	
483.70	0.015	
484.60	0.015	
485.50	0.015	
486.30	0.015	
487.20	0.015	
488.10	0.015	
489.00	0.015	
489.90	0.015	
490.80	0.016	
491.70	0.016	
492.60	0.016	
493.50	0.016	
494.40	0.016	
495.20	0.016	
496.10	0.016	
497.00	0.016	
497.90	0.015	
498.80	0.015	
499.70	0.016	
500.60	0.015	
501.50	0.015	
502.40	0.015	
503.20	0.015	
504.10	0.015	
505.00	0.015	
505.90	0.015	
506.80	0.015	
507.70	0.015	
508.60	0.015	
509.50	0.015	
510.40	0.015	
511.30	0.015	
512.20	0.015	
513.00	0.015	
513.80	0.015	
514.60	0.015	
515.50	0.015	
516.30	0.015	
517.10	0.015	
517.90	0.015	
518.80	0.015	
519.60	0.015	
520.40	0.015	
521.20	0.015	
522.10	0.015	
522.90	0.015	
523.70	0.015	
524.50	0.015	
525.40	0.015	
526.20	0.015	
527.00	0.016	
527.80	0.016	
528.70	0.016	
529.50	0.015	
530.30	0.016	
531.10	0.016	
532.00	0.016	
532.80	0.016	
533.60	0.016	
534.50	0.016	
535.30	0.016	
536.10	0.016	
536.90	0.016	
537.80	0.016	
538.60	0.015	
539.40	0.016	
540.20	0.016	
541.10	0.016	
541.90	0.016	
