,R,G,B
w,0.00042132255232306496,0.00041269128056058987,0.0004275171779110199
a0,0.7610368014853343,0.7859747252113224,0.7918026585235443
a1,-0.07268308645287735,-0.0703675443674336,-0.0777322688467644
a2,-0.028726395367368682,-0.03569882228304935,-0.0313714127679311
b1,0.12649123293264392,0.13873041064517821,0.11857348436964744
b2,0.008139997956218717,0.009510566917369526,0.008366647945159384
