Wavelength	Intensity	
W	I	
nm	rel	

380.50	0.021	
381.30	0.021	
382.20	0.022	
383.10	0.022	
384.00	0.022	
384.90	0.022	
385.80	0.022	
386.70	0.023	
387.60	0.023	
388.50	0.023	
389.40	0.023	
390.20	0.024	
391.10	0.024	
392.00	0.023	
392.90	0.023	
393.80	0.024	
394.70	0.024	
395.60	0.025	
396.50	0.024	
397.40	0.024	
398.30	0.025	
399.10	0.025	
400.00	0.025	
400.90	0.026	
401.80	0.026	
402.70	0.027	
403.60	0.027	
404.50	0.028	
405.40	0.028	
406.30	0.028	
407.20	0.029	
408.00	0.030	
408.90	0.031	
409.80	0.032	
410.70	0.034	
411.60	0.035	
412.50	0.037	
413.40	0.039	
414.30	0.043	
415.20	0.045	
416.00	0.047	
416.90	0.050	
417.80	0.054	
418.70	0.059	
419.60	0.064	
420.50	0.070	
421.40	0.076	
422.30	0.084	
423.20	0.092	
424.10	0.102	
424.90	0.111	
425.80	0.123	
426.70	0.134	
427.60	0.144	
428.50	0.153	
429.40	0.165	
430.30	0.177	
431.20	0.189	
432.10	0.199	
433.00	0.211	
433.80	0.224	
434.70	0.237	
435.60	0.249	
436.50	0.260	
437.40	0.272	
438.30	0.286	
439.20	0.297	
440.10	0.309	
441.00	0.320	
441.90	0.331	
442.70	0.342	
443.60	0.352	
444.50	0.363	
445.40	0.371	
446.30	0.379	
447.20	0.384	
448.10	0.388	
449.00	0.391	
449.90	0.392	
450.80	0.391	
451.60	0.389	
452.50	0.386	
453.40	0.381	
454.30	0.374	
455.20	0.366	
456.10	0.357	
457.00	0.348	
457.90	0.339	
458.80	0.329	
459.60	0.321	
460.50	0.312	
461.40	0.303	
462.30	0.296	
463.20	0.289	
464.10	0.283	
465.00	0.277	
465.90	0.272	
466.80	0.268	
467.70	0.265	
468.50	0.262	
469.40	0.261	
470.30	0.259	
471.20	0.256	
472.10	0.254	
473.00	0.253	
473.90	0.252	
474.80	0.251	
475.70	0.248	
476.60	0.247	
477.40	0.246	
478.30	0.244	
479.20	0.242	
480.10	0.241	
481.00	0.239	
481.90	0.237	
482.80	0.235	
483.70	0.233	
484.60	0.230	
485.50	0.228	
486.30	0.227	
487.20	0.225	
488.10	0.222	
489.00	0.220	
489.90	0.218	
490.80	0.217	
491.70	0.217	
492.60	0.216	
493.50	0.217	
494.40	0.216	
495.20	0.217	
496.10	0.219	
497.00	0.221	
497.90	0.222	
498.80	0.223	
499.70	0.226	
500.60	0.230	
501.50	0.234	
502.40	0.239	
503.20	0.244	
504.10	0.247	
505.00	0.252	
505.90	0.259	
506.80	0.264	
507.70	0.270	
508.60	0.277	
509.50	0.286	
510.40	0.291	
511.30	0.296	
512.20	0.304	
513.00	0.309	
513.80	0.313	
514.60	0.317	
515.50	0.324	
516.30	0.329	
517.10	0.332	
517.90	0.334	
518.80	0.338	
519.60	0.340	
520.40	0.342	
521.20	0.344	
522.10	0.345	
522.90	0.346	
523.70	0.347	
524.50	0.347	
525.40	0.346	
526.20	0.342	
527.00	0.341	
527.80	0.339	
528.70	0.336	
529.50	0.331	
530.30	0.328	
531.10	0.323	
532.00	0.317	
532.80	0.311	
533.60	0.307	
534.50	0.300	
535.30	0.294	
536.10	0.288	
536.90	0.284	
537.80	0.280	
538.60	0.275	
539.40	0.271	
540.20	0.268	
541.10	0.265	
541.90	0.262	
542.70	0.262	
543.50	0.262	
544.40	0.261	
545.20	0.260	
546.00	0.260	
546.80	0.261	
547.70	0.260	
548.50	0.260	
549.30	0.261	
550.10	0.264	
551.00	0.264	
551.80	0.263	
552.60	0.264	
553.50	0.266	
554.30	0.268	
555.10	0.269	
555.90	0.271	
556.80	0.275	
557.60	0.275	
558.40	0.276	
559.20	0.278	
560.10	0.281	
560.90	0.285	
561.70	0.286	
562.50	0.291	
563.40	0.296	
564.20	0.300	
565.00	0.303	
565.80	0.306	
566.70	0.312	
567.50	0.315	
568.30	0.317	
569.10	0.318	
570.00	0.317	
570.80	0.317	
571.60	0.317	
572.40	0.316	
573.30	0.315	
574.10	0.312	
574.90	0.310	
575.80	0.305	
576.60	0.303	
577.40	0.299	
578.20	0.293	
579.10	0.288	
579.90	0.283	
580.70	0.279	
581.50	0.275	
582.40	0.270	
583.20	0.264	
584.00	0.259	
584.80	0.256	
585.70	0.250	
586.50	0.245	
587.30	0.239	
588.10	0.236	
588.90	0.234	
589.60	0.230	
590.40	0.224	
591.10	0.217	
591.90	0.212	
592.60	0.210	
593.40	0.207	
594.10	0.205	
594.90	0.199	
595.60	0.192	
596.40	0.188	
597.10	0.184	
597.90	0.182	
598.60	0.178	
599.40	0.173	
600.10	0.168	
600.90	0.165	
601.60	0.163	
602.40	0.161	
603.10	0.159	
603.90	0.155	
604.60	0.152	
605.40	0.149	
606.10	0.148	
606.90	0.148	
607.70	0.146	
608.40	0.145	
609.20	0.144	
609.90	0.143	
610.70	0.143	
611.40	0.142	
612.20	0.141	
612.90	0.138	
613.70	0.135	
614.40	0.134	
615.20	0.133	
615.90	0.130	
616.70	0.127	
617.40	0.127	
618.20	0.130	
618.90	0.132	
619.70	0.132	
620.40	0.130	
621.20	0.127	
621.90	0.125	
622.70	0.126	
623.40	0.127	
624.20	0.128	
624.90	0.125	
625.70	0.123	
626.40	0.120	
627.20	0.120	
627.90	0.121	
628.70	0.121	
629.40	0.120	
630.20	0.119	
630.90	0.120	
631.70	0.119	
632.40	0.117	
633.20	0.114	
633.90	0.113	
634.70	0.110	
635.40	0.108	
636.20	0.104	
636.90	0.100	
637.70	0.097	
638.40	0.094	
639.20	0.092	
639.90	0.089	
640.70	0.085	
641.40	0.082	
642.20	0.079	
642.90	0.078	
643.70	0.076	
644.50	0.074	
645.20	0.071	
646.00	0.069	
646.70	0.067	
647.50	0.065	
648.20	0.063	
649.00	0.061	
649.70	0.059	
650.50	0.057	
651.20	0.056	
652.00	0.054	
652.70	0.052	
653.50	0.050	
654.20	0.048	
655.00	0.047	
655.70	0.046	
656.50	0.045	
657.20	0.044	
658.00	0.043	
658.70	0.041	
659.50	0.039	
660.20	0.039	
661.00	0.038	
661.70	0.038	
662.50	0.037	
663.20	0.036	
664.00	0.035	
664.70	0.035	
665.50	0.035	
666.20	0.034	
667.00	0.033	
667.80	0.032	
668.50	0.032	
669.30	0.032	
670.00	0.032	
670.80	0.031	
671.60	0.031	
672.30	0.031	
673.10	0.031	
673.90	0.031	
674.60	0.030	
675.40	0.031	
676.20	0.030	
676.90	0.030	
677.70	0.029	
678.50	0.029	
679.20	0.028	
680.00	0.028	
680.70	0.028	
681.50	0.028	
682.30	0.028	
683.00	0.028	
683.80	0.028	
684.60	0.027	
685.30	0.027	
686.10	0.027	
686.90	0.027	
687.60	0.026	
688.40	0.026	
689.20	0.027	
689.90	0.026	
690.70	0.026	
691.50	0.025	
692.20	0.026	
693.00	0.025	
693.70	0.026	
694.50	0.025	
695.30	0.025	
696.00	0.025	
696.80	0.025	
697.60	0.024	
698.30	0.024	
699.10	0.024	
699.90	0.024	
700.60	0.024	
701.40	0.024	
702.20	0.024	
702.90	0.024	
703.70	0.023	
704.50	0.023	
705.20	0.023	
706.00	0.023	
706.80	0.023	
707.50	0.023	
708.30	0.022	
709.10	0.022	
709.90	0.022	
710.70	0.022	
711.50	0.022	
712.20	0.022	
713.00	0.022	
713.80	0.022	
714.60	0.022	
715.40	0.021	
716.20	0.021	
716.90	0.021	
717.70	0.021	
718.50	0.021	
719.30	0.020	
720.10	0.020	
720.90	0.020	
721.60	0.020	
722.40	0.020	
723.20	0.019	
724.00	0.019	
724.80	0.019	
725.60	0.019	
726.30	0.019	
727.10	0.020	
727.90	0.019	
728.70	0.020	
729.50	0.019	
730.30	0.019	
731.00	0.019	
731.80	0.019	
732.60	0.019	
733.40	0.018	
734.20	0.019	
735.00	0.019	
735.70	0.019	
736.50	0.019	
737.30	0.018	
738.10	0.018	
738.90	0.018	
739.70	0.018	
740.40	0.018	
741.20	0.018	
742.00	0.018	
742.80	0.018	
743.60	0.019	
744.40	0.018	
745.10	0.018	
745.90	0.018	
746.70	0.018	
747.50	0.019	
748.30	0.018	
749.10	0.019	
749.80	0.018	
750.60	0.020	
751.40	0.019	
752.20	0.019	
753.00	0.018	
753.80	0.018	
754.50	0.018	
755.30	0.018	
756.10	0.018	
756.90	0.018	
757.70	0.018	
758.50	0.019	
759.30	0.018	
760.00	0.018	
760.80	0.018	
761.60	0.018	
762.40	0.018	
763.20	0.018	
764.00	0.018	
764.70	0.019	
765.50	0.018	
766.30	0.018	
767.10	0.018	
767.90	0.019	
768.70	0.018	
769.40	0.018	
770.20	0.018	
771.00	0.018	
771.80	0.018	
772.60	0.018	
773.40	0.018	
774.10	0.018	
774.90	0.018	
775.70	0.018	
776.50	0.018	
777.30	0.018	
778.10	0.017	
778.80	0.017	
779.60	0.017	
780.40	0.018	
781.20	0.018	
782.00	0.018	
782.80	0.018	
783.50	0.018	
784.30	0.018	
785.10	0.017	
785.90	0.017	
786.70	0.017	
787.50	0.017	
788.20	0.017	
789.00	0.018	
789.80	0.018	
790.60	0.017	
791.40	0.017	
792.20	0.017	
792.90	0.017	
793.70	0.017	
794.50	0.017	
795.30	0.018	
796.10	0.018	
796.90	0.018	
797.60	0.018	
798.40	0.017	
799.20	0.017	
800.00	0.016	
800.80	0.017	
801.60	0.017	
802.30	0.017	
803.10	0.017	
803.90	0.017	
804.70	0.017	
805.50	0.017	
806.30	0.018	
807.10	0.017	
807.80	0.017	
808.60	0.017	
809.40	0.017	
810.20	0.017	
811.00	0.018	
811.80	0.017	
812.50	0.017	
813.30	0.017	
814.10	0.017	
814.90	0.017	
815.70	0.018	
816.50	0.018	
817.20	0.017	
818.00	0.016	
818.80	0.016	
819.60	0.017	
820.40	0.017	
821.20	0.017	
821.90	0.017	
822.70	0.017	
823.50	0.017	
824.30	0.017	
825.10	0.018	
825.90	0.018	
826.60	0.018	
827.40	0.017	
828.20	0.017	
829.00	0.017	
829.80	0.017	
830.60	0.017	
831.30	0.017	
832.20	0.017	
833.00	0.017	
833.80	0.017	
834.60	0.016	
835.50	0.016	
836.30	0.016	
837.10	0.017	
838.00	0.017	
838.80	0.017	
839.60	0.017	
840.50	0.017	
841.30	0.017	
842.10	0.017	
842.90	0.017	
843.80	0.017	
844.60	0.017	
845.40	0.017	
846.30	0.016	
847.10	0.016	
847.90	0.017	
848.80	0.017	
849.60	0.017	
850.40	0.017	
851.30	0.016	
852.10	0.016	
852.90	0.017	
853.70	0.017	
854.60	0.017	
855.40	0.017	
856.20	0.017	
857.10	0.017	
857.90	0.017	
858.70	0.017	
859.60	0.017	
860.40	0.017	
861.20	0.017	
862.10	0.017	
862.90	0.017	
863.70	0.016	
864.50	0.016	
865.40	0.016	
866.20	0.016	
867.00	0.017	
867.90	0.016	
868.70	0.016	
869.50	0.017	
870.40	0.017	
871.20	0.017	
872.00	0.016	
872.80	0.016	
873.70	0.016	
874.50	0.016	
875.30	0.016	
876.20	0.017	
877.00	0.017	
877.80	0.016	
878.70	0.016	
879.50	0.016	
880.30	0.017	
881.20	0.017	
882.00	0.017	
882.80	0.017	
883.60	0.017	
884.50	0.016	
885.30	0.017	
886.10	0.017	
887.00	0.017	
887.80	0.016	
888.60	0.016	
889.50	0.016	
890.30	0.016	
891.10	0.016	
892.00	0.017	
892.80	0.017	
893.60	0.017	
894.40	0.017	
895.30	0.017	
896.10	0.016	
896.90	0.016	
897.80	0.016	
898.60	0.016	
899.40	0.016	
900.30	0.017	
901.10	0.017	
901.90	0.016	
902.80	0.016	
903.60	0.016	
904.40	0.016	
905.20	0.016	
906.10	0.016	
906.90	0.016	
907.70	0.016	
908.60	0.017	
909.40	0.017	
910.20	0.017	
911.10	0.017	
911.90	0.016	
912.70	0.017	
913.50	0.017	
914.40	0.017	
915.20	0.017	
916.00	0.017	
916.90	0.016	
917.70	0.016	
918.50	0.017	
919.40	0.017	
920.20	0.017	
921.00	0.017	
921.90	0.017	
922.70	0.017	
923.50	0.017	
924.30	0.017	
925.20	0.016	
926.00	0.017	
926.80	0.016	
927.70	0.017	
928.50	0.016	
929.30	0.017	
930.20	0.017	
931.00	0.017	
931.80	0.017	
932.70	0.017	
933.50	0.017	
934.30	0.017	
935.10	0.017	
936.00	0.017	
936.80	0.017	
937.60	0.017	
938.50	0.017	
939.30	0.017	
940.20	0.017	
941.00	0.017	
941.80	0.016	
942.60	0.016	
943.50	0.016	
944.30	0.017	
945.10	0.017	
